"name","abbrev","utc_offset","is_dst"
"America/Adak","HST","-10:00:00",False
"America/Anchorage","AKST","-09:00:00",False
"America/Anguilla","AST","-04:00:00",False
"America/Antigua","AST","-04:00:00",False
"America/Araguaina","-03","-03:00:00",False
"America/Argentina/Buenos_Aires","-03","-03:00:00",False
"America/Argentina/Catamarca","-03","-03:00:00",False
"America/Argentina/ComodRivadavia","-03","-03:00:00",False
"America/Argentina/Cordoba","-03","-03:00:00",False
"America/Argentina/Jujuy","-03","-03:00:00",False
"America/Argentina/La_Rioja","-03","-03:00:00",False
"America/Argentina/Mendoza","-03","-03:00:00",False
"America/Argentina/Rio_Gallegos","-03","-03:00:00",False
"America/Argentina/Salta","-03","-03:00:00",False
"America/Argentina/San_Juan","-03","-03:00:00",False
"America/Argentina/San_Luis","-03","-03:00:00",False
"America/Argentina/Tucuman","-03","-03:00:00",False
"America/Argentina/Ushuaia","-03","-03:00:00",False
"America/Aruba","AST","-04:00:00",False
"America/Asuncion","-03","-03:00:00",True
"America/Atikokan","EST","-05:00:00",False
"America/Atka","HST","-10:00:00",False
"America/Bahia","-03","-03:00:00",False
"America/Bahia_Banderas","CST","-06:00:00",False
"America/Barbados","AST","-04:00:00",False
"America/Belem","-03","-03:00:00",False
"America/Belize","CST","-06:00:00",False
"America/Blanc-Sablon","AST","-04:00:00",False
"America/Boa_Vista","-04","-04:00:00",False
"America/Bogota","-05","-05:00:00",False
"America/Boise","MST","-07:00:00",False
"America/Buenos_Aires","-03","-03:00:00",False
"America/Cambridge_Bay","MST","-07:00:00",False
"America/Campo_Grande","-04","-04:00:00",False
"America/Cancun","EST","-05:00:00",False
"America/Caracas","-04","-04:00:00",False
"America/Catamarca","-03","-03:00:00",False
"America/Cayenne","-03","-03:00:00",False
"America/Cayman","EST","-05:00:00",False
"America/Chicago","CST","-06:00:00",False
"America/Chihuahua","CST","-06:00:00",False
"America/Ciudad_Juarez","MST","-07:00:00",False
"America/Coral_Harbour","EST","-05:00:00",False
"America/Cordoba","-03","-03:00:00",False
"America/Costa_Rica","CST","-06:00:00",False
"America/Creston","MST","-07:00:00",False
"America/Cuiaba","-04","-04:00:00",False
"America/Curacao","AST","-04:00:00",False
"America/Danmarkshavn","GMT","00:00:00",False
"America/Dawson","MST","-07:00:00",False
"America/Dawson_Creek","MST","-07:00:00",False
"America/Denver","MST","-07:00:00",False
"America/Detroit","EST","-05:00:00",False
"America/Dominica","AST","-04:00:00",False
"America/Edmonton","MST","-07:00:00",False
"America/Eirunepe","-05","-05:00:00",False
"America/El_Salvador","CST","-06:00:00",False
"America/Ensenada","PST","-08:00:00",False
"America/Fortaleza","-03","-03:00:00",False
"America/Fort_Nelson","MST","-07:00:00",False
"America/Fort_Wayne","EST","-05:00:00",False
"America/Glace_Bay","AST","-04:00:00",False
"America/Godthab","-02","-02:00:00",False
"America/Goose_Bay","AST","-04:00:00",False
"America/Grand_Turk","EST","-05:00:00",False
"America/Grenada","AST","-04:00:00",False
"America/Guadeloupe","AST","-04:00:00",False
"America/Guatemala","CST","-06:00:00",False
"America/Guayaquil","-05","-05:00:00",False
"America/Guyana","-04","-04:00:00",False
"America/Halifax","AST","-04:00:00",False
"America/Havana","CST","-05:00:00",False
"America/Hermosillo","MST","-07:00:00",False
"America/Indiana/Indianapolis","EST","-05:00:00",False
"America/Indiana/Knox","CST","-06:00:00",False
"America/Indiana/Marengo","EST","-05:00:00",False
"America/Indiana/Petersburg","EST","-05:00:00",False
"America/Indiana/Tell_City","CST","-06:00:00",False
"America/Indiana/Vevay","EST","-05:00:00",False
"America/Indiana/Vincennes","EST","-05:00:00",False
"America/Indiana/Winamac","EST","-05:00:00",False
"America/Indianapolis","EST","-05:00:00",False
"America/Inuvik","MST","-07:00:00",False
"America/Iqaluit","EST","-05:00:00",False
"America/Jamaica","EST","-05:00:00",False
"America/Jujuy","-03","-03:00:00",False
"America/Juneau","AKST","-09:00:00",False
"America/Kentucky/Louisville","EST","-05:00:00",False
"America/Kentucky/Monticello","EST","-05:00:00",False
"America/Knox_IN","CST","-06:00:00",False
"America/Kralendijk","AST","-04:00:00",False
"America/La_Paz","-04","-04:00:00",False
"America/Lima","-05","-05:00:00",False
"America/Los_Angeles","PST","-08:00:00",False
"America/Louisville","EST","-05:00:00",False
"America/Lower_Princes","AST","-04:00:00",False
"America/Maceio","-03","-03:00:00",False
"America/Managua","CST","-06:00:00",False
"America/Manaus","-04","-04:00:00",False
"America/Marigot","AST","-04:00:00",False
"America/Martinique","AST","-04:00:00",False
"America/Matamoros","CST","-06:00:00",False
"America/Mazatlan","MST","-07:00:00",False
"America/Mendoza","-03","-03:00:00",False
"America/Menominee","CST","-06:00:00",False
"America/Merida","CST","-06:00:00",False
"America/Metlakatla","AKST","-09:00:00",False
"America/Mexico_City","CST","-06:00:00",False
"America/Miquelon","-03","-03:00:00",False
"America/Moncton","AST","-04:00:00",False
"America/Monterrey","CST","-06:00:00",False
"America/Montevideo","-03","-03:00:00",False
"America/Montreal","EST","-05:00:00",False
"America/Montserrat","AST","-04:00:00",False
"America/Nassau","EST","-05:00:00",False
"America/New_York","EST","-05:00:00",False
"America/Nipigon","EST","-05:00:00",False
"America/Nome","AKST","-09:00:00",False
"America/Noronha","-02","-02:00:00",False
"America/North_Dakota/Beulah","CST","-06:00:00",False
"America/North_Dakota/Center","CST","-06:00:00",False
"America/North_Dakota/New_Salem","CST","-06:00:00",False
"America/Nuuk","-02","-02:00:00",False
"America/Ojinaga","CST","-06:00:00",False
"America/Panama","EST","-05:00:00",False
